City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
271,vila franca do campo,37.7167,-25.4333,292.15,94,99,3.57,PT,1667464245
272,touros,-5.1989,-35.4608,300.09,63,66,5.15,BR,1667464246
273,tadine,-21.55,167.8833,297.43,83,17,4.22,NC,1667464247
274,bandarbeyla,9.4942,50.8122,300.76,64,50,4.67,SO,1667464247
275,astara,38.5,48.6667,290.14,51,3,1.59,AZ,1667464248
276,korsakovo,53.2677,37.3569,275.81,59,4,3.0,RU,1667464248
277,la romana,18.4273,-68.9728,296.77,91,66,3.27,DO,1667464249
278,loandjili,-4.7561,11.8578,297.21,100,40,2.06,CG,1667464249
279,nyurba,63.2842,118.3319,266.68,94,100,3.33,RU,1667464250
280,abu samrah,35.3029,37.1841,294.67,40,0,2.94,SY,1667464251
281,pisco,-13.7,-76.2167,290.18,82,100,2.57,PE,1667464251
282,bonnyville,54.2668,-110.735,265.77,87,100,3.45,CA,1667464252
283,geraldton,-28.7667,114.6,301.38,28,2,6.17,AU,1667463945
284,boysun,38.2061,67.1986,287.3,52,100,3.29,UZ,1667464253
285,manzhouli,49.6,117.4333,265.55,73,1,3.27,CN,1667464253
286,esperance,-33.8667,121.9,290.94,71,100,8.83,AU,1667464254
287,kardamas,37.7667,21.3333,295.18,73,0,0.0,GR,1667464255
288,sambava,-14.2667,50.1667,299.82,58,5,4.12,MG,1667464255
289,impfondo,1.6381,18.0667,295.75,95,100,0.82,CG,1667464256
290,saint anthony,45.0205,-93.218,291.09,59,0,6.69,US,1667464256
291,kaeo,-35.1,173.7833,291.66,92,100,2.25,NZ,1667464257
292,antalaha,-14.9003,50.2788,299.5,57,2,3.86,MG,1667464258
293,mokrous,51.2333,47.5167,276.33,70,100,6.15,RU,1667464259
294,kathmandu,27.7167,85.3167,297.27,29,20,1.54,NP,1667463846
295,susa,35.8254,10.637,294.03,68,0,3.6,TN,1667464260
296,vila velha,-20.3297,-40.2925,292.12,94,100,5.66,BR,1667464261
297,nalut,30.3333,10.85,294.03,31,0,2.88,LY,1667464261
298,garachine,8.0647,-78.3628,298.72,85,95,1.88,PA,1667464262
299,matara,5.9485,80.5353,301.99,70,81,5.75,LK,1667464203
